,m,n,c,r1,M,r2,mdf,fobj,optiter,solveriter,time,scc
246,10,15,1,17680,1,779217003,False,216260.27,183.0,0.0,10.320940399999927,[8]
247,10,15,1,17680,1,779217003,True,9999.0,,,,[8]
248,10,15,1,17680,2,1667914287,False,0.0,4.0,0.0,0.30636730000060197,[]
249,10,15,1,17680,2,1667914287,True,0.0,4.0,0.0,0.31140679999953136,[]
250,10,15,1,17680,1,1667914287,False,0.0,48.0,0.0,6.921934699999838,[8]
251,10,15,1,17680,1,1667914287,True,9999.0,,,,[8]
252,10,15,1,17680,2,978390736,False,0.0,4.0,0.0,0.31765879999966273,[]
253,10,15,1,17680,2,978390736,True,0.0,4.0,0.0,0.3090134999993097,[]
254,10,15,1,17680,1,978390736,False,83348.91,190.0,0.0,11.615907800000059,[8]
255,10,15,1,17680,1,978390736,True,9999.0,,,,[8]
256,10,15,1,17680,2,1338934054,False,0.0,4.0,0.0,0.3093386000000464,[]
257,10,15,1,17680,2,1338934054,True,0.0,4.0,0.0,0.30700549999983195,[]
258,10,15,1,17680,1,1338934054,False,0.91,69.0,0.0,9.154976600000737,[8]
259,10,15,1,17680,1,1338934054,True,0.0,4.0,804.0,108.03932040000018,[8]
260,10,15,1,17680,2,911820706,False,0.0,4.0,0.0,0.30438239999966754,[]
261,10,15,1,17680,2,911820706,True,0.0,4.0,0.0,0.31906270000035875,[]
262,10,15,1,17680,1,911820706,False,0.0,98.0,0.0,11.250796599999376,[8]
263,10,15,1,17680,1,911820706,True,0.0,4.0,44.0,5.731732999999622,[8]
264,10,15,1,17680,2,248819508,False,0.0,4.0,0.0,0.3125883000002432,[]
265,10,15,1,17680,2,248819508,True,0.0,4.0,0.0,0.3195657999995092,[]
266,10,15,1,17680,1,248819508,False,0.1,217.0,0.0,20.51991160000034,[8]
267,10,15,1,17680,1,248819508,True,9999.0,,,,[8]
268,10,15,1,17680,2,629145196,False,0.0,4.0,0.0,0.306928599999992,[]
269,10,15,1,17680,2,629145196,True,0.0,4.0,0.0,0.31036149999999907,[]
270,10,15,1,17680,1,629145196,False,691946758796145.4,266.0,0.0,22.92785129999993,[8]
271,10,15,1,17680,1,629145196,True,9999.0,,,,[8]
272,10,15,1,17680,2,1108248848,False,0.0,4.0,0.0,0.321014500000274,[]
273,10,15,1,17680,2,1108248848,True,0.0,4.0,0.0,0.3277613999998721,[]
274,10,15,1,17680,1,1108248848,False,1.0,110.0,0.0,17.52647909999996,[8]
275,10,15,1,17680,1,1108248848,True,9999.0,,,,[8]
276,10,15,1,17680,2,904342679,False,0.0,4.0,0.0,0.3317957999997816,[]
277,10,15,1,17680,2,904342679,True,0.0,4.0,0.0,0.31137260000014066,[]
278,10,15,1,17680,1,904342679,False,0.8,68.0,0.0,10.701795199999651,[8]
279,10,15,1,17680,1,904342679,True,9999.0,,,,[8]
280,10,15,1,33497,2,133894701,False,0.0,4.0,0.0,0.2903890000006868,[]
281,10,15,1,33497,2,133894701,True,0.0,4.0,0.0,0.2944487000004301,[]
282,10,15,1,33497,1,133894701,False,3.24,238.0,0.0,22.756240499999876,[5]
283,10,15,1,33497,1,133894701,True,0.0,4.0,804.0,65.4081997000003,[5]
284,10,15,1,33497,2,790444289,False,0.0,4.0,0.0,0.2958717000001343,[]
285,10,15,1,33497,2,790444289,True,0.0,4.0,0.0,0.30127230000016425,[]
286,10,15,1,33497,1,790444289,False,0.0,19.0,0.0,2.4846090000000913,[5]
287,10,15,1,33497,1,790444289,True,0.0,4.0,464.0,38.313203599999724,[5]
288,10,15,1,33497,2,986416297,False,0.0,4.0,0.0,0.2966147999995883,[]
289,10,15,1,33497,2,986416297,True,0.0,4.0,0.0,0.3120457000004535,[]
290,10,15,1,33497,1,986416297,False,0.02,426.0,0.0,32.232034900000144,[5]
291,10,15,1,33497,1,986416297,True,0.0,4.0,25.0,2.1327896999991935,[5]
292,10,15,1,33497,2,1872810737,False,0.0,4.0,0.0,0.2916082000001552,[]
293,10,15,1,33497,2,1872810737,True,0.0,4.0,0.0,0.2893678999998883,[]
294,10,15,1,33497,1,1872810737,False,0.0,18.0,0.0,2.4579804000004515,[5]
295,10,15,1,33497,1,1872810737,True,0.0,4.0,404.0,33.73915130000023,[5]
296,10,15,1,33497,2,1135136799,False,0.0,4.0,0.0,0.2860563000003822,[]
297,10,15,1,33497,2,1135136799,True,0.0,4.0,0.0,0.29378840000026685,[]
298,10,15,1,33497,1,1135136799,False,0.23,208.0,0.0,18.53820579999956,[5]
299,10,15,1,33497,1,1135136799,True,0.0,4.0,21.0,1.7107255999999325,[5]
300,10,15,1,33497,2,1543026410,False,0.0,4.0,0.0,0.3011543000002348,[]
301,10,15,1,33497,2,1543026410,True,0.0,4.0,0.0,0.28847029999997176,[]
302,10,15,1,33497,1,1543026410,False,2.89,24.0,0.0,3.1856406000006245,[5]
303,10,15,1,33497,1,1543026410,True,0.0,4.0,412.0,33.61469080000006,[5]
304,10,15,1,33497,2,85025055,False,0.0,4.0,0.0,0.3000456999998278,[]
305,10,15,1,33497,2,85025055,True,0.0,4.0,0.0,0.3069332000004579,[]
306,10,15,1,33497,1,85025055,False,0.0,29.0,0.0,3.9175317999997787,[5]
307,10,15,1,33497,1,85025055,True,0.0,4.0,21.0,1.7578005999994275,[5]
308,10,15,1,33497,2,917647715,False,0.0,4.0,0.0,0.30262609999954293,[]
309,10,15,1,33497,2,917647715,True,0.0,4.0,0.0,0.29819320000024163,[]
310,10,15,1,33497,1,917647715,False,0.0,66.0,0.0,8.911244999999326,[5]
311,10,15,1,33497,1,917647715,True,0.0,4.0,60.0,5.130510300000424,[5]
312,10,15,1,33497,2,1969881821,False,0.0,4.0,0.0,0.29400210000039806,[]
313,10,15,1,33497,2,1969881821,True,0.0,4.0,0.0,0.30925699999988865,[]
314,10,15,1,33497,1,1969881821,False,0.01,27.0,0.0,4.010033999999905,[5]
315,10,15,1,33497,1,1969881821,True,0.0,4.0,604.0,49.52997460000006,[5]
316,10,15,1,33497,2,1659553369,False,0.0,4.0,0.0,0.40077040000051056,[]
317,10,15,1,33497,2,1659553369,True,0.0,4.0,0.0,0.3024942000001829,[]
