,m,ncoeff,n,sparsity,seed,maxscc,guess,timetear,mintear,timescc,minscc,timeguess,minguess
193,30,0.1,33,1.0,3,22.0,15,0.0210533142089843,3.0,1.935405731201172,16.0,0.3947639465332031,1.0
194,30,0.1,33,1.0,4,23.0,20,0.0742511749267578,5.0,2.2682323455810547,22.0,1.2860336303710938,2.0
195,30,0.1,33,1.0,5,9.0,16,0.0053234100341796,2.0,0.0205326080322265,3.0,0.163360595703125,1.0
196,30,0.1,33,1.0,6,25.0,17,0.1199207305908203,4.0,9.119483947753906,13.0,0.8034954071044922,1.0
197,30,0.1,33,1.0,7,24.0,19,0.0344982147216796,4.0,1.7536029815673828,3.0,1.3258285522460938,2.0
198,30,0.1,33,1.0,8,13.0,13,0.0129890441894531,2.0,2.131763458251953,14.0,0.7631549835205078,1.0
199,30,0.1,33,1.0,9,20.0,17,0.0500545501708984,4.0,12.170503616333008,11.0,4.718076705932617,2.0
200,30,0.1,33,1.5,0,30.0,21,1.3224506378173828,6.0,100.12955093383788,999.0,672.3943214416504,3.0
201,30,0.1,33,1.5,1,23.0,19,0.1120681762695312,5.0,100.03477478027344,999.0,71.2988452911377,2.0
202,30,0.1,33,1.5,2,26.0,21,0.1976337432861328,6.0,100.1054801940918,999.0,387.911039352417,3.0
203,30,0.1,33,1.5,3,23.0,20,0.5651512145996094,5.0,100.99149131774902,999.0,36.89873504638672,2.0
204,30,0.1,33,1.5,4,23.0,20,0.7719001770019531,5.0,100.3083667755127,999.0,26.397964477539062,2.0
205,30,0.1,33,1.5,5,24.0,18,0.3742961883544922,5.0,100.69927215576172,999.0,467.6774616241455,3.0
206,30,0.1,33,1.5,6,26.0,22,0.197021484375,5.0,100.70163536071776,999.0,12.591007232666016,2.0
207,30,0.1,33,1.5,7,26.0,21,100.0534210205078,8.0,104.36812400817873,999.0,102.19518852233887,16.0
208,30,0.1,33,1.5,8,20.0,18,0.6618194580078125,5.0,107.8510570526123,999.0,105.4604606628418,8.0
209,30,0.1,33,1.5,9,25.0,20,1.2535839080810547,6.0,101.1656551361084,999.0,110.81499481201172,10.0
210,30,0.2,36,0.5,0,8.0,12,0.016782760620117188,1.0,0.020999908447265625,0.0,0.03485870361328125,0.0
